"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5685279187817","26.3967611336032","26.5499635302699","27.7088225427709","26.1997405966278","29.1932559609719","25.6016364535102","22.5278355212575","21.5498392985985","25.3515791174107","24.2607584311355","22.6648082261778","21.896866624466","24.0514960265387","17.9227307827769","13.2548289035891","12.4808122720134","13.0844439583417","15.0311979620103","16.7803962710542","21.4110819736919","21.9761166452307","21.8442662635436","21.6937198710177","23.5641147128887","6.02672487762973","16.2526901981086","23.1739109466581","28.350292011879",
"Africa Eastern and Southern","AFE","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","32.2335281860184","30.2411584412145","28.3889085523716","34.9616582034849","30.0879341992688","23.8745593926131","24.2306431191215","23.7780458473939","19.2129080607868","18.181943637505","17.8049319935686","18.8873831168783","14.4158426687981","14.8215530671439","16.1288660899581","15.0437517424344","13.2182273341035","13.7815346626219","15.3120754201204","16.9319645689414","20.6422840198099","20.0800850703071","20.3139978292351","22.274370590304","24.2537773689143","25.355286259157","26.4842548208045","21.8765009828554","22.99314968462","23.0043574792318","20.0234195586181","18.9649830367077","19.5975607719056","17.5086859906434","17.7308793434547","21.7180087294758","18.4898881599639","18.9253649090284","18.8087995459067","20.7066058386845","20.2241706855131","17.5566768036239",
"Afghanistan","AFG","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-14.4125667930104","-9.74070711301084","-19.456991010884","-18.5717471890027",
"Africa Western and Central","AFW","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.3615726233684","35.1925594834981","44.0744450899104","52.0181531998987","55.611338598239","53.4820782069118","54.3894024598723","37.8893275487369","47.1599011692428","47.7817418665868","46.7477412995554","40.8252092989134","37.5575953379603","30.8231706421035","30.093516053141","29.881682707626","33.1639908034036","41.4642305257206","37.1774530505898","47.4634152306336","45.3482319140527","38.4651202295699",
"Albania","ALB","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","32.584578944595","34.3051786239152","31.016017504155","31.0652884431923","27.2889734913993","28.0357351525402","27.9660240031802","25.7099283507455","23.3742590596281","26.3622414106849","18.1319776466362","-17.099908107101","-86.912123638379","-38.4916410872679","-15.8061213998012","-5.41646310794626","-3.5910264117311","-8.37186862406587","-5.46070656466969","2.40726880886576","7.57276052027239","11.1644993601905","8.63017982158711","8.57114401140264","11.5847427527194","12.0232838367346","11.8496336230356","7.75564665136588","6.52730975796631","8.07115957536085","10.7333026793961","10.7264005585012","11.1883035179031","8.94513252442682","7.76077703441183","8.1946047812637","7.76962320005922","8.89357161607818","13.6592506476547","11.7776470222154","11.7791568250593","15.4701682179264","16.6016287879325","17.7471927521525",
"Andorra","AND","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","18.5180250779513","21.4520142744215","24.0377860152505","32.463418096837","54.4435198912678","43.5511699102675","44.9617533304939","39.711807675587","33.5617139248513","39.7916609537147","46.9542787283776","40.3656305028795","28.4026598364753","21.5502703548029","19.6260816780362","17.9958438694604","10.4623607636344","12.8643444642171","12.3840597631139","8.7580935322854","22.6721305158062","14.4345631795665","18.6506850718874","17.4381868509968","19.6670172959995","21.8191979093565","24.0162020179715","24.4194901867373","20.5493538303566","27.2671050069372","34.296409007385","31.8041885936123","31.1791570689094","34.2422734799713","37.1051740218041","42.2282544361726","43.7393707977497","42.3683004098475","45.2952627856181","34.7440848676465","40.9015930106042","44.12598995487","43.9578016300664","41.5698688381937","37.1117320397178","27.9918619706726","27.5282438988166","30.5177394874568","34.9004736577906","32.6855578301066","24.689432352047","31.0839219740565","37.4375086165015","32.7661102561718",
"United Arab Emirates","ARE","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9564763897821","28.4808180510786","31.6758958047746","30.4915083857539","35.7846182754777","37.0554183957054","33.1692249553155","34.3203157720812","37.478249976568","49.5396193678857","53.0109887028549","59.2192369003257","56.55269210138","53.5183458561381","46.5063420843618","45.9850315675664","46.069268415906","49.6218055334071","47.7203590796348","38.5086284905611","44.5242553129105","45.187003341466","41.9678631111646",
"Argentina","ARG","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","20.9635208111813","29.8993071699111","20.7538604757213","17.9866261230352","24.0992491945745","24.5029683743514","22.2057744322725","23.7135673796952","22.771236922337","23.9905970209843","25.305777994677","23.5123079192046","24.251434708636","22.7969816115916","22.8738930645877","29.2862161333996","33.9832323160071","33.2311870609607","30.6931473821212","26.0379662963583","23.8360568062657","22.2402077537044","24.3244480036609","24.203123572929","22.7975016436555","23.0518378887842","19.2996865015374","19.8523077450573","21.9598062343556","21.9935620422646","19.7251979893811","16.2340150185736","15.167803750012","17.283658956359","16.8911906463642","18.089755621159","18.9745946854627","18.6116147702478","18.45186881007","16.1345234778131","16.8837968886758","16.9317413775939","25.866328843816","25.3641367935633","24.5538630826976","24.8287466175764","24.3003965721413","24.4794431962016","23.2919032639209","21.117955565887","20.6021673473589","20.0907222034274","18.4511630822258","17.206196676033","17.667044537805","15.9957828960867","16.623530348527","15.5635327564442","14.724720556382","17.4291721090617","17.4222858081054","21.1310180177491","18.7498634987357","17.6633499018566",
